,index,comment,author,relative_time_posted,url,ingestion_date
0,9f9ae714-e87e-4333-9e12-cbaf8f6a36dd,"Most Decorated Female Gymnasts of the Tokyo Games:

3 medals:
🇺🇸 Sunisa Lee 🥇🥈🥉
🇷🇺 Angelina Melnikova 🥇🥉🥉

2 medals:
🇧🇷 Rebeca Andrade 🥇🥈
🇺🇸 Simone Biles 🥈🥉",sporteverywhere,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
1,e8714beb-5612-4db7-8193-9481e0ebe960,A lot of medalists from different countries. There is no dominance of one.  It is very cool!,igor igor,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
2,df47ee04-82b0-4a35-a202-4de066f8fec4,Still remember Mustafina's 4 medals from London being the most decorated after a torn ACL. What a level of gymnast.,Mauricio Mendoza,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
3,1826dbdb-2662-4e21-863e-6ee97dfde9ca,If we look at the medals overall I love that gymnastics is becoming a bit more International instead of just USA/China/Russia!,TheFlowMind,1 week ago (edited),https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
4,956fa781-3434-4055-81e7-7185b941156f,"Congrats to everyone!! So cool to see Melnikova up there. She had an amazing Olympics! 

I'm not Russian but I'm so excited for the next generation of Russian gymnasts, they're so elegant and skilled! Paris will be Urazova and Listunova's games",Sanju Rayan,1 week ago (edited),https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
5,3d1f6487-af68-4660-b215-92083457c7bd,"It was nice to see all the gold spread to different countries. Suni was the Queen of these games. I hope she, Simone, and Jade all try for Paris 2024.",GreySox,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
6,9d2d0c82-bd56-4b70-b502-c4a5deb576b2,Tang Xijing's sportsmaship and charisma was the most beautiful and relaxed thing then a ever see from a chinese gymnast. She really enjoy gymnastics.,Luz S.,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
7,e7b0326a-0377-432b-8072-8f43c95b02cc,Sunisa Lee with the whole collection! So proud of her!! Rebeca brought it baby! She was so awesome to watch! I’m glad Simone came back. Good to see her at her best after some healing. I hope she goes to Paris and wins even more medals!!! These games were amazing!,Maggie Holm,6 days ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
8,68f3cc92-e656-49dd-933c-4c0ec462713d,Rebecca Andrade won the hearts of the people❤️ It feels like everyone was cheering for her👏,Cinnamon,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
9,6487e45a-8c87-4787-97f0-547af05042b6,"Suni, Gelya, and Andrade were definitely the stars of the games for me. But Simone is just on a whole ‘nother level. She is the epitome of class. The 🐐",Yuiop,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
10,a1210e4f-260f-4d3d-a29e-96fdc2601335,Angelina Melnikova and Rebeca Andrade for me the queens of the games! And what a pride Vanessa Ferrari of Italy and Nina Derwael!!!!,Anne Ramones,5 days ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
11,aed88e9f-699d-4675-b761-01456403f094,"I never thought I would see Simone leave the Olympics without a gold medal, but I am okay with it now. I wonder of this will fuel her to return 2024 as a specialist? Some unfinished business.",Sleepy,1 week ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
12,d959e646-6161-409c-b5c7-7d631c1788df,"I think Jade would be considered more decorated than Simone (in these individual games, not overall of course) because the IOC prioritizes gold medals over anything else. The US leads all countries in the overall medal count, but because China has more Gold, they're considered the current leader in these games.",Blake Evans,5 days ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
13,44d7cf2b-8ebb-43b9-beda-3a76bdec6d78,I couldn't be more proud of Gelya. What a journey she has had from the most inconsistent gymnast to the joint most decorated gymnast at the Olympics. She persevered throughout the quad and her hard work finally paid off. I'm honestly so surprised how she didn't burn out despite being overworked. They literally made her attend every single competition even when she was injured.,Tanaya Thakur,6 days ago,https://www.youtube.com/post/UgyYa8gswyZDYW0E2iJ4AaABCQ,2021-08-10
