,index,comment,author,relative_time_posted,url,ingestion_date
0,e6264e45-ff70-42a4-a9fa-413deee72400,"Who would you like to see making a run for the 2024 Paris Olympics? USA EDITION 🇺🇸✨
(All the gymnasts mentioned didn’t make the 2021 US Olympic team.)",sporteverywhere,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
1,acf623dd-c3cb-46b5-a6cb-63a60fbf2831,It’s too soon to tell to be honest. I have to say Chellsie is looking good in training. My gut says Laurie is probably done. Leanne Wong would be the most likely as she is still young and could hold on three more years. Riley and Morgan are headed to Florida to compete. Who knows though because anything can happen. Mykayla proved that this year. I can’t say about Jade. Skill wise she could but she needs to rest a bit and I think she is headed to college too. This years ladies have a new chance to earn money off their win and still compete for the NCAA which is awesome and is going to a HUGE draw for NCAA competitions. ,Heather Wicker,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
2,4a20fcba-6831-497b-a4ba-85b523e82391,"Morgan needs her redemption 😭 was pulling for her so hard but the timing was just off due to COVID, she deserves another shot",Alex Wang,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
3,1777a0b3-6935-4d0e-bf4b-b0231f532f6c,"Riley deserves another quad, at least to get proper closure.",R H,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
4,cd92921e-aa1a-4eea-84b4-ac07df070b17,I would LOVE TO SEE Morgan Hurd at the 2024 Olympics and I am hoping that she trains SMARTLY to give herself the best chance of making that team. Her floor routine this year is a thing of beauty and I would love to see that grace an Olympic stage.,Alicia McDonald,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
5,247f4431-dbba-440b-9f11-96ae69c73756,"I wanna see Riley go, but I’d rather not see her break herself to do it.",Bork PomPom,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
6,cd01bc9a-671d-4783-8596-9a70e41fec53,love to see morgan but the sport is catching up to her and i don’t think she can train injury free until then. leanne and riley have a great shot though!,Jessica Messica,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
7,b3a8c5a9-6a79-45ce-b783-a05858546f2c,"It’s a pity the “team” for worlds can only be 4 people because I’d love to see literally all of them compete.

ETA: I realized this question is asking about the 2024 olympics and not the world championships this year, but my answer still stands.",lexie,1 day ago (edited),https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
8,fde72dcb-2cf7-492c-9a5d-7d3ebdf7bdcc,"i think everyone except for leanne is probably done with elite, riley and leanne are both going to Florida to compete there but who knows. i’ll be rooting for konner mcclain",Rebekah,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
9,fcd99dc4-f975-4da2-8a45-a961bc2ea7a6,Leanne is definitely my second choice. I feel like she has a lot more to show us.,Peter Davies,1 day ago,https://www.youtube.com/post/Ugxpr8dYg8Jb78K7IFF4AaABCQ,2021-08-10
